,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
684,Nedagolla,16935,Valid,"Iron, ungrouped",4500.0,Fell,1870-01-01T00:00:00.000,18.68333,83.48333,"[83.48333, 18.68333]",India,India
685,Nejo,16941,Valid,L6,2450.0,Fell,1970-01-01T00:00:00.000,9.5,35.33333,"[35.33333, 9.5]",Ethiopia,Ethiopia
687,Neuschwanstein,16950,Valid,EL6,6189.0,Fell,2002-01-01T00:00:00.000,47.525,10.80833,"[10.80833, 47.525]",Germany,Germany
696,Nikolaevka,16976,Valid,H4,3996.0,Fell,1935-01-01T00:00:00.000,52.45,78.63333,"[78.63333, 52.45]",Kazakhstan,Kazakhstan
697,Nikolskoe,16977,Valid,L4,6000.0,Fell,1954-01-01T00:00:00.000,56.11667,37.33333,"[37.33333, 56.11667]",Russia,Russia
699,Ningqiang,16981,Valid,C3-ung,4610.0,Fell,1983-01-01T00:00:00.000,32.925,105.90667,"[105.90667, 32.925]",China,China
702,Nobleborough,16984,Valid,Eucrite-pmict,2300.0,Fell,1823-01-01T00:00:00.000,44.08333,-69.48333,"[-69.48333, 44.08333]",United States,United States
705,Nogoya,16989,Valid,CM2,4000.0,Fell,1879-01-01T00:00:00.000,-32.36667,-59.83333,"[-59.83333, -32.36667]",Argentina,Argentina
714,Nulles,17959,Valid,H6,5000.0,Fell,1851-01-01T00:00:00.000,41.63333,0.75,"[0.75, 41.63333]",Spain,Spain
720,Oesel,17989,Valid,L6,6000.0,Fell,1855-01-01T00:00:00.000,58.5,23.0,"[23, 58.5]",Estonia,Estonia
721,Ofehértó,17990,Valid,L6,3750.0,Fell,1900-01-01T00:00:00.000,47.88333,22.03333,"[22.03333, 47.88333]",Hungary,Hungary
724,Ohuma,17996,Valid,L5,7700.0,Fell,1963-01-01T00:00:00.000,6.75,8.5,"[8.5, 6.75]",Nigeria,Nigeria
725,Ojuelos Altos,17997,Valid,L6,5850.0,Fell,1926-01-01T00:00:00.000,38.18333,-5.4,"[-5.4, 38.18333]",Spain,Spain
727,Okano,18000,Valid,"Iron, IIAB",4742.0,Fell,1904-01-01T00:00:00.000,35.08333,135.2,"[135.2, 35.08333]",Japan,Japan
736,Ornans,18030,Valid,CO3.4,6000.0,Fell,1868-01-01T00:00:00.000,47.11667,6.15,"[6.15, 47.11667]",France,France
