,name,id,nametype,recclass,mass,fall,year,reclat,reclong,coordinates,locations,locations2
779,Peña Blanca Spring,18786,Valid,Aubrite,70000.0,Fell,1946-01-01T00:00:00.000,30.125,-103.11667,"[-103.11667, 30.125]",United States,United States
781,Perpeti,18793,Valid,L6,23474.0,Fell,1935-01-01T00:00:00.000,23.325,91.0,"[91, 23.325]",বাংলাদেশ,বাংলাদেশ
783,Pervomaisky,18798,Valid,L6,66000.0,Fell,1933-01-01T00:00:00.000,56.63333,39.43333,"[39.43333, 56.63333]",Россия,Россия
788,Phillips County (stone),18808,Valid,L6,57900.0,Fell,1901-01-01T00:00:00.000,40.0,-99.25,"[-99.25, 40]",United States,United States
791,Phuoc-Binh,18812,Valid,L5,11000.0,Fell,1941-01-01T00:00:00.000,15.71667,108.1,"[108.1, 15.71667]",Việt Nam,Việt Nam
794,Pillistfer,18822,Valid,EL6,23250.0,Fell,1863-01-01T00:00:00.000,58.66667,25.73333,"[25.73333, 58.66667]",Eesti,Eesti
795,Piplia Kalan,18831,Valid,Eucrite-mmict,42000.0,Fell,1996-01-01T00:00:00.000,26.03472,73.94167,"[73.94167, 26.03472]",India,India
809,Portales Valley,18874,Valid,H6,71400.0,Fell,1998-01-01T00:00:00.000,34.175,-103.295,"[-103.295, 34.175]",United States,United States
817,Pultusk,18901,Valid,H5,250000.0,Fell,1868-01-01T00:00:00.000,52.76667,21.26667,"[21.26667, 52.76667]",Polska,Polska
819,Putinga,18905,Valid,L6,300000.0,Fell,1937-01-01T00:00:00.000,-29.03333,-53.05,"[-53.05, -29.03333]",Brasil,Brasil
824,Quesa,22360,Valid,"Iron, IAB-ung",10750.0,Fell,1898-01-01T00:00:00.000,39.0,-0.66667,"[-0.6666700000000001, 39]",España,España
825,Quija,22361,Valid,H,17450.0,Fell,1990-01-01T00:00:00.000,44.61667,126.13333,"[126.13333, 44.61667]",中国,中国
828,Raghunathpura,22371,Valid,"Iron, IIAB",10200.0,Fell,1986-01-01T00:00:00.000,27.72528,76.465,"[76.465, 27.72528]",India,India
829,Rahimyar Khan,31302,Valid,L5,67225.0,Fell,1983-01-01T00:00:00.000,28.225,70.2,"[70.2, 28.225]",پاکستان,پاکستان
839,Rasgrad,22396,Valid,Stone-uncl,24700.0,Fell,1740-01-01T00:00:00.000,43.5,26.53333,"[26.53333, 43.5]",Бългaрия,Бългaрия
842,Reliegos,22584,Valid,L5,17300.0,Fell,1947-01-01T00:00:00.000,42.475,-5.33333,"[-5.33333, 42.475]",España,España
851,Uzcudun,24140,Valid,L,20000.0,Fell,1948-01-01T00:00:00.000,-44.11667,-66.15,"[-66.15, -44.11667]",Argentina,Argentina
852,Richardton,22599,Valid,H5,90000.0,Fell,1918-01-01T00:00:00.000,46.88333,-102.31667,"[-102.31667, 46.88333]",United States,United States
